
Trial Number	Parking Block Id	Time to Reach Parking Block	Parking Block Location	User's Location
48	585092	81	37.8055461678,-122.4221474552	37.802123,-122.418554
47	585092	54	37.8055461678,-122.4221474552	37.804031,-122.426311
46	325041	62	37.8055280628,-122.4137316435	37.803293,-122.417052
45	502271	5	37.8062673506,-122.4171695836	37.806243,-122.416344
49	585092	63	37.8055461678,-122.4221474552	37.803234,-122.417503
40	585092	19	37.8055461678,-122.4221474552	37.804217,-122.421762
44	585092	51	37.8055461678,-122.4221474552	37.804192,-122.41776
43	325041	24	37.8055280628,-122.4137316435	37.804565,-122.414241
42	325041	51	37.8055280628,-122.4137316435	37.80303,-122.414788
41	325041	48	37.8055280628,-122.4137316435	37.804005,-122.416645
35	585092	75	37.8055461678,-122.4221474552	37.802284,-122.41732
34	585092	39	37.8055461678,-122.4221474552	37.803573,-122.422363
37	325041	35	37.8055280628,-122.4137316435	37.80426,-122.415057
36	325041	53	37.8055280628,-122.4137316435	37.803471,-122.415743
39	326071	12	37.8065670891,-122.4206920137	37.805751,-122.4204
38	325041	22	37.8055280628,-122.4137316435	37.804633,-122.41407
31	326071	32	37.8065670891,-122.4206920137	37.804921,-122.419305
30	585092	6	37.8055461678,-122.4221474552	37.805056,-122.421945
33	325041	38	37.8055280628,-122.4137316435	37.803937,-122.412203
32	325041	21	37.8055280628,-122.4137316435	37.804802,-122.412889
69	585092	69	37.8055461678,-122.4221474552	37.802213,-122.418007
68	585022	84	37.807015691,-122.4106376987	37.803645,-122.406828
67	585022	88	37.807015691,-122.4106376987	37.802077,-122.40789
66	325041	68	37.8055280628,-122.4137316435	37.80251,-122.415808
65	325041	23	37.8055280628,-122.4137316435	37.804082,-122.413308
64	616241	28	37.8068728626,-122.412239992	37.80509,-122.411838
63	585041	3	37.8064715349,-122.4139016295	37.806625,-122.413265
62	325041	10	37.8055280628,-122.4137316435	37.805751,-122.41275
61	585022	35	37.807015691,-122.4106376987	37.805082,-122.410658
60	325041	26	37.8055280628,-122.4137316435	37.80487,-122.412428
57	325041	47	37.8055280628,-122.4137316435	37.804285,-122.417074
56	585092	56	37.8055461678,-122.4221474552	37.803302,-122.418211
59	585031	2	37.8066485617,-122.4124854154	37.806726,-122.412943
58	585092	50	37.8055461678,-122.4221474552	37.803064,-122.418801
53	585092	46	37.8055461678,-122.4221474552	37.80231,-122.424487
52	325041	70	37.8055280628,-122.4137316435	37.802488,-122.416044
55	585092	39	37.8055461678,-122.4221474552	37.802742,-122.424756
54	585092	73	37.8055461678,-122.4221474552	37.801106,-122.421097
51	585092	48	37.8055461678,-122.4221474552	37.803912,-122.41834
50	585092	42	37.8055461678,-122.4221474552	37.802564,-122.42276
80	847001	5	37.8085375176,-122.4127710722	37.808579,-122.412308
70	616241	73	37.8068728626,-122.412239992	37.802026,-122.411849
71	585022	89	37.807015691,-122.4106376987	37.801958,-122.40789
72	585022	74	37.807015691,-122.4106376987	37.804459,-122.406785
73	585092	77	37.8055461678,-122.4221474552	37.798813,-122.422127
74	585092	92	37.8055461678,-122.4221474552	37.797372,-122.418715
75	585092	109	37.8055461678,-122.4221474552	37.7961,-122.420829
76	585092	181	37.8055461678,-122.4221474552	37.790878,-122.418522
77	325041	108	37.8055280628,-122.4137316435	37.798161,-122.412428
78	616241	126	37.8068728626,-122.412239992	37.797474,-122.409918
79	616241	175	37.8068728626,-122.412239992	37.79365,-122.411237
9	585092	1	37.8055461678,-122.4221474552	37.805531,-122.422041
7	326052	6	37.8071031986,-122.4174351237	37.807015,-122.417964
8	585092	24	37.8055461678,-122.4221474552	37.804412,-122.422996
6	363121	3	37.8052595051,-122.4175105613	37.80559,-122.417857
5	326071	18	37.8065670891,-122.4206920137	37.805836,-122.419606
4	585092	176	37.8055461678,-122.4221474552	37.807319,-122.436905
3	585092	574	37.8055461678,-122.4221474552	37.756042,-122.423314
2	585092	320	37.8055461678,-122.4221474552	37.783827,-122.43723
1	585012	152	37.8072188694,-122.4090052303	37.795752,-122.39434
10	585092	23	37.8055461678,-122.4221474552	37.804751,-122.420743
11	585092	19	37.8055461678,-122.4221474552	37.804277,-122.421773
14	585092	6	37.8055461678,-122.4221474552	37.805082,-122.421966
15	326071	31	37.8065670891,-122.4206920137	37.804912,-122.419391
12	326071	31	37.8065670891,-122.4206920137	37.804929,-122.419391
13	585092	47	37.8055461678,-122.4221474552	37.803683,-122.42085
18	585092	38	37.8055461678,-122.4221474552	37.803988,-122.419316
19	363121	3	37.8052595051,-122.4175105613	37.805616,-122.417878
16	585092	22	37.8055461678,-122.4221474552	37.804785,-122.425195
17	325041	37	37.8055280628,-122.4137316435	37.805133,-122.417975
20	585092	21	37.8055461678,-122.4221474552	37.804709,-122.42099
21	326071	17	37.8065670891,-122.4206920137	37.805819,-122.419767
22	585092	34	37.8055461678,-122.4221474552	37.803539,-122.419949
23	326071	32	37.8065670891,-122.4206920137	37.804904,-122.419316
24	326072	7	37.8066928183,-122.4208137196	37.806557,-122.42143
25	585092	23	37.8055461678,-122.4221474552	37.804438,-122.422953
26	585092	48	37.8055461678,-122.4221474552	37.804124,-122.418061
27	325052	6	37.8054657011,-122.4154546369	37.805302,-122.416194
28	325041	37	37.8055280628,-122.4137316435	37.804378,-122.416054
29	325052	2	37.8054657011,-122.4154546369	37.805362,-122.415765
