
Trial Number	Parking Block Id	Time to Reach Parking Block	Parking Block Location	User's Location
1	585012	152	37.8072188694,-122.4090052303	37.795752,-122.39434
2	585092	320	37.8055461678,-122.4221474552	37.783827,-122.43723
3	585092	574	37.8055461678,-122.4221474552	37.756042,-122.423314
4	585092	176	37.8055461678,-122.4221474552	37.807319,-122.436905
5	585092	15	37.8055461678,-122.4221474552	37.805836,-122.419606
6	585092	27	37.8055461678,-122.4221474552	37.80559,-122.417857
7	326052	6	37.8071031986,-122.4174351237	37.807015,-122.417964
8	585092	24	37.8055461678,-122.4221474552	37.804412,-122.422996
9	585092	1	37.8055461678,-122.4221474552	37.805531,-122.422041
29	585041	28	37.8064715349,-122.4139016295	37.805362,-122.415765
27	326052	35	37.8071031986,-122.4174351237	37.805302,-122.416194
28	326052	40	37.8071031986,-122.4174351237	37.804378,-122.416054
22	585092	34	37.8055461678,-122.4221474552	37.803539,-122.419949
21	585092	14	37.8055461678,-122.4221474552	37.805819,-122.419767
20	585092	21	37.8055461678,-122.4221474552	37.804709,-122.42099
26	585092	48	37.8055461678,-122.4221474552	37.804124,-122.418061
25	585092	23	37.8055461678,-122.4221474552	37.804438,-122.422953
24	326071	8	37.8065670891,-122.4206920137	37.806557,-122.42143
23	585092	28	37.8055461678,-122.4221474552	37.804904,-122.419316
16	585092	22	37.8055461678,-122.4221474552	37.804785,-122.425195
17	585092	38	37.8055461678,-122.4221474552	37.805133,-122.417975
18	585092	38	37.8055461678,-122.4221474552	37.803988,-122.419316
19	585092	27	37.8055461678,-122.4221474552	37.805616,-122.417878
11	585092	19	37.8055461678,-122.4221474552	37.804277,-122.421773
10	585092	23	37.8055461678,-122.4221474552	37.804751,-122.420743
13	585092	47	37.8055461678,-122.4221474552	37.803683,-122.42085
12	585092	28	37.8055461678,-122.4221474552	37.804929,-122.419391
15	585092	28	37.8055461678,-122.4221474552	37.804912,-122.419391
14	585092	6	37.8055461678,-122.4221474552	37.805082,-122.421966
77	585092	118	37.8055461678,-122.4221474552	37.798161,-122.412428
76	585092	181	37.8055461678,-122.4221474552	37.790878,-122.418522
75	585092	109	37.8055461678,-122.4221474552	37.7961,-122.420829
74	585092	92	37.8055461678,-122.4221474552	37.797372,-122.418715
79	616241	175	37.8068728626,-122.412239992	37.79365,-122.411237
78	616241	126	37.8068728626,-122.412239992	37.797474,-122.409918
73	585092	77	37.8055461678,-122.4221474552	37.798813,-122.422127
72	616241	85	37.8068728626,-122.412239992	37.804459,-122.406785
71	616241	101	37.8068728626,-122.412239992	37.801958,-122.40789
70	616241	73	37.8068728626,-122.412239992	37.802026,-122.411849
80	847001	5	37.8085375176,-122.4127710722	37.808579,-122.412308
32	616241	42	37.8068728626,-122.412239992	37.804802,-122.412889
33	616241	49	37.8068728626,-122.412239992	37.803937,-122.412203
30	585092	6	37.8055461678,-122.4221474552	37.805056,-122.421945
31	585092	29	37.8055461678,-122.4221474552	37.804921,-122.419305
36	585092	58	37.8055461678,-122.4221474552	37.803471,-122.415743
37	616241	58	37.8068728626,-122.412239992	37.80426,-122.415057
34	585092	39	37.8055461678,-122.4221474552	37.803573,-122.422363
35	585092	75	37.8055461678,-122.4221474552	37.802284,-122.41732
39	585092	11	37.8055461678,-122.4221474552	37.805751,-122.4204
38	616241	45	37.8068728626,-122.412239992	37.804633,-122.41407
40	585092	19	37.8055461678,-122.4221474552	37.804217,-122.421762
41	585092	53	37.8055461678,-122.4221474552	37.804005,-122.416645
42	585092	56	37.8055461678,-122.4221474552	37.80303,-122.414788
43	616241	47	37.8068728626,-122.412239992	37.804565,-122.414241
44	585092	51	37.8055461678,-122.4221474552	37.804192,-122.41776
45	326052	20	37.8071031986,-122.4174351237	37.806243,-122.416344
46	585092	67	37.8055461678,-122.4221474552	37.803293,-122.417052
47	585092	54	37.8055461678,-122.4221474552	37.804031,-122.426311
48	585092	81	37.8055461678,-122.4221474552	37.802123,-122.418554
49	585092	63	37.8055461678,-122.4221474552	37.803234,-122.417503
50	585092	42	37.8055461678,-122.4221474552	37.802564,-122.42276
51	585092	48	37.8055461678,-122.4221474552	37.803912,-122.41834
58	585092	50	37.8055461678,-122.4221474552	37.803064,-122.418801
59	616241	8	37.8068728626,-122.412239992	37.806726,-122.412943
56	585092	56	37.8055461678,-122.4221474552	37.803302,-122.418211
57	585092	52	37.8055461678,-122.4221474552	37.804285,-122.417074
54	585092	73	37.8055461678,-122.4221474552	37.801106,-122.421097
55	585092	39	37.8055461678,-122.4221474552	37.802742,-122.424756
52	585092	75	37.8055461678,-122.4221474552	37.802488,-122.416044
53	585092	46	37.8055461678,-122.4221474552	37.80231,-122.424487
60	616241	37	37.8068728626,-122.412239992	37.80487,-122.412428
61	616241	42	37.8068728626,-122.412239992	37.805082,-122.410658
62	616241	24	37.8068728626,-122.412239992	37.805751,-122.41275
67	616241	99	37.8068728626,-122.412239992	37.802077,-122.40789
68	616241	95	37.8068728626,-122.412239992	37.803645,-122.406828
69	585092	69	37.8055461678,-122.4221474552	37.802213,-122.418007
63	585041	3	37.8064715349,-122.4139016295	37.806625,-122.413265
64	616241	28	37.8068728626,-122.412239992	37.80509,-122.411838
65	616241	46	37.8068728626,-122.412239992	37.804082,-122.413308
66	585092	73	37.8055461678,-122.4221474552	37.80251,-122.415808
