
Trial Number	Parking Block Id	Time to Reach Parking Block	Parking Block Location	User's Location
21	585092	14	37.8055461678,-122.4221474552	37.805819,-122.419767
22	585092	34	37.8055461678,-122.4221474552	37.803539,-122.419949
23	585092	28	37.8055461678,-122.4221474552	37.804904,-122.419316
24	585092	31	37.8055461678,-122.4221474552	37.806557,-122.42143
20	585092	21	37.8055461678,-122.4221474552	37.804709,-122.42099
29	326052	38	37.8071031986,-122.4174351237	37.805362,-122.415765
26	585092	48	37.8055461678,-122.4221474552	37.804124,-122.418061
25	585092	23	37.8055461678,-122.4221474552	37.804438,-122.422953
28	326052	40	37.8071031986,-122.4174351237	37.804378,-122.416054
27	326052	35	37.8071031986,-122.4174351237	37.805302,-122.416194
12	585092	28	37.8055461678,-122.4221474552	37.804929,-122.419391
13	585092	47	37.8055461678,-122.4221474552	37.803683,-122.42085
10	585092	23	37.8055461678,-122.4221474552	37.804751,-122.420743
11	585092	19	37.8055461678,-122.4221474552	37.804277,-122.421773
19	326052	28	37.8071031986,-122.4174351237	37.805616,-122.417878
18	585092	38	37.8055461678,-122.4221474552	37.803988,-122.419316
17	326052	39	37.8071031986,-122.4174351237	37.805133,-122.417975
16	585092	22	37.8055461678,-122.4221474552	37.804785,-122.425195
15	585092	28	37.8055461678,-122.4221474552	37.804912,-122.419391
14	585092	6	37.8055461678,-122.4221474552	37.805082,-122.421966
69	585092	69	37.8055461678,-122.4221474552	37.802213,-122.418007
60	616241	37	37.8068728626,-122.412239992	37.80487,-122.412428
68	616241	95	37.8068728626,-122.412239992	37.803645,-122.406828
67	616241	99	37.8068728626,-122.412239992	37.802077,-122.40789
66	326052	70	37.8071031986,-122.4174351237	37.80251,-122.415808
65	616241	46	37.8068728626,-122.412239992	37.804082,-122.413308
64	616241	28	37.8068728626,-122.412239992	37.80509,-122.411838
63	616241	9	37.8068728626,-122.412239992	37.806625,-122.413265
62	616241	24	37.8068728626,-122.412239992	37.805751,-122.41275
61	616241	42	37.8068728626,-122.412239992	37.805082,-122.410658
58	585092	50	37.8055461678,-122.4221474552	37.803064,-122.418801
59	616241	8	37.8068728626,-122.412239992	37.806726,-122.412943
55	585092	39	37.8055461678,-122.4221474552	37.802742,-122.424756
54	585092	73	37.8055461678,-122.4221474552	37.801106,-122.421097
57	326052	50	37.8071031986,-122.4174351237	37.804285,-122.417074
56	585092	56	37.8055461678,-122.4221474552	37.803302,-122.418211
51	585092	48	37.8055461678,-122.4221474552	37.803912,-122.41834
50	585092	42	37.8055461678,-122.4221474552	37.802564,-122.42276
53	585092	46	37.8055461678,-122.4221474552	37.80231,-122.424487
52	326052	73	37.8071031986,-122.4174351237	37.802488,-122.416044
49	585092	63	37.8055461678,-122.4221474552	37.803234,-122.417503
47	585092	54	37.8055461678,-122.4221474552	37.804031,-122.426311
48	585092	81	37.8055461678,-122.4221474552	37.802123,-122.418554
42	326052	53	37.8071031986,-122.4174351237	37.80303,-122.414788
41	326052	50	37.8071031986,-122.4174351237	37.804005,-122.416645
40	585092	19	37.8055461678,-122.4221474552	37.804217,-122.421762
46	326052	64	37.8071031986,-122.4174351237	37.803293,-122.417052
45	326052	20	37.8071031986,-122.4174351237	37.806243,-122.416344
44	585092	51	37.8055461678,-122.4221474552	37.804192,-122.41776
43	616241	47	37.8068728626,-122.412239992	37.804565,-122.414241
36	326052	55	37.8071031986,-122.4174351237	37.803471,-122.415743
37	616241	58	37.8068728626,-122.412239992	37.80426,-122.415057
38	616241	45	37.8068728626,-122.412239992	37.804633,-122.41407
39	585092	11	37.8055461678,-122.4221474552	37.805751,-122.4204
31	585092	29	37.8055461678,-122.4221474552	37.804921,-122.419305
30	585092	6	37.8055461678,-122.4221474552	37.805056,-122.421945
33	616241	49	37.8068728626,-122.412239992	37.803937,-122.412203
32	616241	42	37.8068728626,-122.412239992	37.804802,-122.412889
35	585092	75	37.8055461678,-122.4221474552	37.802284,-122.41732
34	585092	39	37.8055461678,-122.4221474552	37.803573,-122.422363
80	616241	54	37.8068728626,-122.412239992	37.808579,-122.412308
72	616241	85	37.8068728626,-122.412239992	37.804459,-122.406785
73	585092	77	37.8055461678,-122.4221474552	37.798813,-122.422127
74	585092	92	37.8055461678,-122.4221474552	37.797372,-122.418715
75	585092	109	37.8055461678,-122.4221474552	37.7961,-122.420829
76	585092	181	37.8055461678,-122.4221474552	37.790878,-122.418522
77	585092	118	37.8055461678,-122.4221474552	37.798161,-122.412428
78	616241	126	37.8068728626,-122.412239992	37.797474,-122.409918
79	616241	175	37.8068728626,-122.412239992	37.79365,-122.411237
70	616241	73	37.8068728626,-122.412239992	37.802026,-122.411849
71	616241	101	37.8068728626,-122.412239992	37.801958,-122.40789
9	585092	1	37.8055461678,-122.4221474552	37.805531,-122.422041
8	585092	24	37.8055461678,-122.4221474552	37.804412,-122.422996
7	326052	6	37.8071031986,-122.4174351237	37.807015,-122.417964
6	326052	28	37.8071031986,-122.4174351237	37.80559,-122.417857
5	585092	15	37.8055461678,-122.4221474552	37.805836,-122.419606
4	585092	176	37.8055461678,-122.4221474552	37.807319,-122.436905
3	585092	574	37.8055461678,-122.4221474552	37.756042,-122.423314
2	585092	320	37.8055461678,-122.4221474552	37.783827,-122.43723
1	616241	173	37.8068728626,-122.412239992	37.795752,-122.39434
