
Trial Number	Parking Block Id	Time to Reach Parking Block	Parking Block Location	User's Location
8	585092	24	37.8055461678,-122.4221474552	37.804412,-122.422996
9	585092	1	37.8055461678,-122.4221474552	37.805531,-122.422041
6	363122	0	37.8056316636,-122.4177288272	37.80559,-122.417857
7	326052	6	37.8071031986,-122.4174351237	37.807015,-122.417964
4	585092	176	37.8055461678,-122.4221474552	37.807319,-122.436905
5	326071	18	37.8065670891,-122.4206920137	37.805836,-122.419606
1	585022	162	37.807015691,-122.4106376987	37.795752,-122.39434
3	585092	574	37.8055461678,-122.4221474552	37.756042,-122.423314
2	585092	320	37.8055461678,-122.4221474552	37.783827,-122.43723
27	325052	6	37.8054657011,-122.4154546369	37.805302,-122.416194
26	363131	36	37.8060551197,-122.4186702877	37.804124,-122.418061
29	325052	2	37.8054657011,-122.4154546369	37.805362,-122.415765
28	363121	12	37.8052595051,-122.4175105613	37.804378,-122.416054
23	326071	32	37.8065670891,-122.4206920137	37.804904,-122.419316
22	326071	37	37.8065670891,-122.4206920137	37.803539,-122.419949
25	585092	23	37.8055461678,-122.4221474552	37.804438,-122.422953
24	326072	7	37.8066928183,-122.4208137196	37.806557,-122.42143
21	326071	17	37.8065670891,-122.4206920137	37.805819,-122.419767
20	585092	21	37.8055461678,-122.4221474552	37.804709,-122.42099
19	363122	1	37.8056316636,-122.4177288272	37.805616,-122.417878
18	326071	41	37.8065670891,-122.4206920137	37.803988,-122.419316
17	363131	25	37.8060551197,-122.4186702877	37.805133,-122.417975
16	585092	22	37.8055461678,-122.4221474552	37.804785,-122.425195
15	326071	31	37.8065670891,-122.4206920137	37.804912,-122.419391
14	585092	6	37.8055461678,-122.4221474552	37.805082,-122.421966
13	585092	47	37.8055461678,-122.4221474552	37.803683,-122.42085
12	326071	31	37.8065670891,-122.4206920137	37.804929,-122.419391
11	585092	19	37.8055461678,-122.4221474552	37.804277,-122.421773
10	585092	23	37.8055461678,-122.4221474552	37.804751,-122.420743
49	326071	67	37.8065670891,-122.4206920137	37.803234,-122.417503
48	326071	84	37.8065670891,-122.4206920137	37.802123,-122.418554
41	363121	23	37.8052595051,-122.4175105613	37.804005,-122.416645
40	585092	19	37.8055461678,-122.4221474552	37.804217,-122.421762
43	325041	24	37.8055280628,-122.4137316435	37.804565,-122.414241
42	325041	51	37.8055280628,-122.4137316435	37.80303,-122.414788
45	585052	4	37.806386039,-122.4156497687	37.806243,-122.416344
44	363131	39	37.8060551197,-122.4186702877	37.804192,-122.41776
47	585092	54	37.8055461678,-122.4221474552	37.804031,-122.426311
46	325041	62	37.8055280628,-122.4137316435	37.803293,-122.417052
39	326071	12	37.8065670891,-122.4206920137	37.805751,-122.4204
38	325041	22	37.8055280628,-122.4137316435	37.804633,-122.41407
37	325041	35	37.8055280628,-122.4137316435	37.80426,-122.415057
32	325041	21	37.8055280628,-122.4137316435	37.804802,-122.412889
31	326071	32	37.8065670891,-122.4206920137	37.804921,-122.419305
30	585092	6	37.8055461678,-122.4221474552	37.805056,-122.421945
36	325041	53	37.8055280628,-122.4137316435	37.803471,-122.415743
35	326071	78	37.8065670891,-122.4206920137	37.802284,-122.41732
34	585092	39	37.8055461678,-122.4221474552	37.803573,-122.422363
33	325041	38	37.8055280628,-122.4137316435	37.803937,-122.412203
66	325041	68	37.8055280628,-122.4137316435	37.80251,-122.415808
67	585022	88	37.807015691,-122.4106376987	37.802077,-122.40789
68	585022	84	37.807015691,-122.4106376987	37.803645,-122.406828
69	326071	72	37.8065670891,-122.4206920137	37.802213,-122.418007
62	325041	10	37.8055280628,-122.4137316435	37.805751,-122.41275
63	585041	3	37.8064715349,-122.4139016295	37.806625,-122.413265
64	325031	13	37.8057372762,-122.4120840877	37.80509,-122.411838
65	325041	23	37.8055280628,-122.4137316435	37.804082,-122.413308
61	585022	35	37.807015691,-122.4106376987	37.805082,-122.410658
60	325041	26	37.8055280628,-122.4137316435	37.80487,-122.412428
57	363121	23	37.8052595051,-122.4175105613	37.804285,-122.417074
58	326071	53	37.8065670891,-122.4206920137	37.803064,-122.418801
55	585092	39	37.8055461678,-122.4221474552	37.802742,-122.424756
56	326071	59	37.8065670891,-122.4206920137	37.803302,-122.418211
53	585092	46	37.8055461678,-122.4221474552	37.80231,-122.424487
54	585092	73	37.8055461678,-122.4221474552	37.801106,-122.421097
51	363131	35	37.8060551197,-122.4186702877	37.803912,-122.41834
52	325041	70	37.8055280628,-122.4137316435	37.802488,-122.416044
59	585031	2	37.8066485617,-122.4124854154	37.806726,-122.412943
50	585092	42	37.8055461678,-122.4221474552	37.802564,-122.42276
80	847001	5	37.8085375176,-122.4127710722	37.808579,-122.412308
75	585092	109	37.8055461678,-122.4221474552	37.7961,-122.420829
76	326071	185	37.8065670891,-122.4206920137	37.790878,-122.418522
73	585092	77	37.8055461678,-122.4221474552	37.798813,-122.422127
74	326071	95	37.8065670891,-122.4206920137	37.797372,-122.418715
79	325041	157	37.8055280628,-122.4137316435	37.79365,-122.411237
77	325041	108	37.8055280628,-122.4137316435	37.798161,-122.412428
78	325041	108	37.8055280628,-122.4137316435	37.797474,-122.409918
72	585022	74	37.807015691,-122.4106376987	37.804459,-122.406785
71	585022	89	37.807015691,-122.4106376987	37.801958,-122.40789
70	325041	61	37.8055280628,-122.4137316435	37.802026,-122.411849
